datetime,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,EE,sss
24.12.2023 06:00,-0.6,724.4,738.1,-0.4,90,Wind blowing from the west-southwest,1,,,100%.,State of sky on the whole unchanged. ,Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,-0.6,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,18,-2.1,1,12,,,,
24.12.2023 03:00,-0.5,724.8,738.4,-0.9,94,"Calm, no wind",0,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,6,-1.3,,,,,,
24.12.2023 00:00,0.3,725.7,739.3,-0.6,94,Wind blowing from the north-west,1,,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",Rain and snow or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,2.7,-0.6,,,,,,
23.12.2023 21:00,0.7,726.3,739.9,-0.1,85,"Calm, no wind",0,,,100%., ,,,,2.6,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,600-1000,,,20,-1.5,0.1,12,,,,
23.12.2023 18:00,1.4,726.4,740.1,0.8,83,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,20,-1.2,0.5,12,,,,
23.12.2023 15:00,2,725.6,739.2,0.7,79,"Calm, no wind",0,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,600-1000,,,20,-1.3,,,,,,
23.12.2023 12:00,2.5,724.9,738.5,0.9,86,Wind blowing from the south,1,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,0.3,,,,,,
23.12.2023 09:00,2.1,724,737.5,-0.2,94,Wind blowing from the south-southeast,2,,,100%.,State of sky on the whole unchanged. ,Rain and snow or other types of solid precipitation,Rain.,0.9,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,100-200,,,12,1.2,2,12,,,Even layer of compact or wet snow covering ground completely.,20
23.12.2023 06:00,1,724.2,737.8,-1.5,95,Wind blowing from the south-east,1,,,100%.,"Rain or drizzle and snow, slight. ",Rain and snow or other types of solid precipitation,Rain.,0.9,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,100-200,Altostratus opacus or Nimbostratus.,,5,0.3,2,12,,,,
23.12.2023 03:00,1.5,725.7,739.3,-0.7,93,Wind blowing from the south-east,2,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",Rain and snow or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,Altostratus opacus or Nimbostratus.,,7,0.5,,,,,,
23.12.2023 00:00,1.3,726.4,740.1,-1.2,92,Wind blowing from the south-east,2,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",Rain and snow or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,8,0.1,,,,,,
22.12.2023 21:00,0.9,727.6,741.3,-1,88,Wind blowing from the south-east,2,,,100%., ,,,,0.9,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,12,-0.9,No precipitation,12,,,,
22.12.2023 18:00,0,728.6,742.3,-0.6,88,Wind blowing from the east-southeast,2,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,15,-1.8,No precipitation,12,,,,
22.12.2023 15:00,0.5,729.2,742.9,-0.9,78,Wind blowing from the south-east,3,,,100%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",,20,-2.9,,,,,,
22.12.2023 12:00,0.5,730.1,743.8,-0.3,81,Wind blowing from the south-southeast,3,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",20,-2.5,,,,,,
